imdb_id,id,episode_number_overall,season,episode_number_in_season,performer_name,Gender,original_air_date,user_rating,user_votes,appearance_number
tt0463485,S1E1,1,1,1,Wanda Sykes,F,12/1/1998,6.7,58,1
tt0463472,S1E2,2,1,2,Marc Maron,M,12/8/1998,6.4,34,1
tt0463478,S1E3,3,1,3,Reggie McFadden,M,12/15/1998,6.1,18,1
tt0832576,S1E4,4,1,4,Lewis Black,M,12/22/1998,7.8,76,1
tt0463461,S1E5,5,1,5,Greg Fitzsimmons,M,12/29/1998,7.5,20,1
tt0454803,S1E6,6,1,6,Mitch Hedberg,M,1/5/1999,8.8,466,1
tt0463481,S1E7,7,1,7,Sue Murphy,F,1/12/1999,7.7,15,1
tt0463469,S1E8,8,1,8,Kevin Brennan,M,1/19/1999,7.3,17,1
tt0463471,S2E1,9,2,1,Kevin Nealon,M,5/29/1999,7.2,43,1
tt0463473,S2E2,10,2,2,Margaret Smith,F,6/5/1999,6,20,1
tt0463475,S2E3,11,2,3,Mark Curry,M,6/12/1999,6.8,21,1
tt0397982,S2E4,12,2,4,Greg Proops,M,6/19/1999,7,50,1
tt0463462,S2E5,13,2,5,Hugh Fink,M,6/26/1999,7.3,22,1
tt0463470,S2E6,14,2,6,Kevin Meaney,M,7/3/1999,5.6,17,1
tt0407679,S2E7,15,2,7,Dave Attell,M,7/10/1999,7.6,79,1
tt0463474,S2E8,16,2,8,Mario Cantone,M,7/17/1999,6.3,31,1
tt0321745,S2E9,17,2,9,Todd Barry,M,7/24/1999,7.6,44,1
tt0463476,S2E10,18,2,10,Patton Oswalt,M,5/10/1999,6.2,75,1
tt0355341,S2E11,19,2,11,Elvira Kurt,F,5/28/1999,3,127,1
tt0463463,S2E12,20,2,12,Jack Coen,M,9/4/1999,6.3,21,1
tt0464922,S3E1,21,3,1,Lewis Black,M,6/8/2000,8.3,110,2
tt0463480,S3E2,22,3,2,Steve Marmel,M,6/15/2000,4,8,1
tt0463464,S3E3,23,3,3,Jeremy Hotz,M,6/20/2000,8.3,82,1
tt0354464,S3E4,24,3,4,Dane Cook,M,6/27/2000,7.2,428,1
tt0463468,S3E5,25,3,5,Kathleen Madigan,F,7/4/2000,6.8,16,1
tt0367615,S3E6,26,3,6,Jim Gaffigan,M,7/11/2000,8.5,176,1
tt0354465,S3E7,27,3,7,Dom Irrera,M,7/18/2000,7.6,45,1
tt0463477,S3E8,28,3,8,Ralph Harris,M,7/25/2000,7.4,25,1
tt0463479,S3E9,29,3,9,Stephen Lynch,M,8/1/2000,8.9,157,1
tt0374582,S3E10,30,3,10,Greg Giraldo,M,8/8/2000,7.9,65,1
tt0463484,S3E11,31,3,11,Victoria Jackson,F,8/15/2000,5.8,5,1
tt0463460,S3E12,32,3,12,Don 'D.C.' Curry,M,8/24/2000,7.4,17,1
tt0463466,S3E13,33,3,13,Johnny Sanchez,M,8/31/2000,7.5,14,1
tt0433357,S3E14,34,3,14,Brian Regan,M,9/7/2000,8.7,169,1
tt0463467,S3E15,35,3,15,Judy Gold,F,9/14/2000,6.8,21,1
tt0463458,S3E16,36,3,16,Arj Barker,M,9/21/2000,7.5,34,1
tt0463459,S4E1,37,4,1,Darrell Hammond,M,12/3/2000,7.6,21,1
tt0463465,S4E2,38,4,2,Jim David,M,12/10/2000,5.1,17,1
tt0476054,S4E3,39,4,3,René Hicks,F,12/17/2000,5.3,13,1
tt0354466,S4E4,40,4,4,Pablo Francisco,M,12/24/2000,8.8,409,1
tt0439507,S4E5,41,4,5,Adam Ferrara,M,12/31/2000,8.4,70,1
tt0828006,S4E6,42,4,6,Nick Swardson,M,1/7/2001,8.5,80,1
